text,emotion
Jestem pelen emocji!,szczesliwy
To jest ponad moje sily,przerazony
Zajme sie tym pozniej,neutralny
Znowu wszystko sie rozpadlo,zly
Za chwile to bedzie gotowe,neutralny
Zaraz to zalatwimy,neutralny
Jak mozna tak lekcewazyc zasady?,zdegustowany
To mnie calkowicie wyczerpuje,przerazony
Po takim bledzie trudno bedzie zbudowac zaufanie na nowo. ,zdegustowany
Nie moge tego zaakceptowac. ,zdegustowany
Zaraz wroce z odpowiedzia,neutralny
Caly czas musze to naprawiac!,zly
Jestem w pelni spelniony!,szczesliwy
Po prostu nie potrafie juz tego zniesc,zly
Znowu zaczynam wszystko od nowa,zly
Nie mam juz cierpliwosci!,zly
Nie moge sie nacieszyc!,szczesliwy
To jest po prostu szokujace. ,zdegustowany
Zaraz to zalatwie,neutralny
Spokoj tej chwili przywraca mi wewnetrzna rownowage.,kontemplujacy
Jestem pelen radosci!,szczesliwy
Zaraz to rozwiazemy,neutralny
Po prostu nie mam juz sil!,zly
Jestem pelen optymizmu!,szczesliwy
To do omowienia,neutralny
To jest jakis koszmar,zly
To jak wspaniala przygoda!,szczesliwy
Jak mozna tak zaniedbac?,zdegustowany
To mnie calkowicie przeroslo.,smutny
To najpiekniejsza chwila mojego zycia!,szczesliwy
Znowu cos nie wyszlo,zly
Jestem pelen entuzjazmu i pozytywnych emocji!,szczesliwy
Jestem pelen wdziecznosci!,szczesliwy
Cala organizacja to kpina,zdegustowany
Znowu wszystko mi sie wali,zly
Przygotuje odpowiedz,neutralny
Nie da sie tego wytrzymac,zdegustowany
Jestem pelen radosci!,szczesliwy
Oto moment refleksji nad zyciem.,kontemplujacy
To absolutnie nie do zaakceptowania,zdegustowany
Za chwile bede wiedzial,neutralny
Nie mam juz na nic motywacji.,smutny
Nie mam nadziei na przyszlosc.,smutny
Po prostu nie moge tego przelknac. ,zdegustowany
Zajmijmy sie tym pozniej,neutralny
Jestem pelen szczescia!,szczesliwy
To jak wspanialy sen!,szczesliwy
Jestem pusty w srodku.,smutny
To jak najlepsza chwila!,szczesliwy
Nie potrafie tego zniesc!,zly
To sie nigdy nie skonczy,zly
Zaraz wroce z rozwiazaniem,neutralny
Nie mam juz sil.,smutny
Zglosze te sprawe odpowiednim osobom,neutralny
Po prostu swietna zabawa!,szczesliwy
Kazda sekunda tutaj jest jak dar.,kontemplujacy
Nie moge sie uspokoic!,przerazony
Po prostu nie mam juz cierpliwosci,zly
Patrze na te krajobrazy i czuje cieplo.,kontemplujacy
Nie spodziewalem sie tego!,zaskoczony
Nie mam juz sily na to wszystko,zly
Po prostu nie potrafie tego zrozumiec. ,zdegustowany
Zaraz cos sprawdze,neutralny
Znowu wszystko zawiodlo,zly
Nie moge przestac myslec o najgorszym,przerazony
Z kazda minuta ciszy czuje sie coraz bardziej zharmonizowany.,kontemplujacy
Nie mam sily na dalsze trwanie.,smutny
Skontaktuje sie z odpowiednimi osobami,neutralny
Nic mnie juz nie uszczesliwia.,smutny
Nie moge sie uwolnic od tego strachu,przerazony
Totalne rozczarowanie,zdegustowany
Chcialbym uzyskac wiecej szczegolow,neutralny
To najlepszy czas jaki moglem sobie wyobrazic!,szczesliwy
To trzeba jeszcze przeanalizowac,neutralny
Zaraz to sprawdze,neutralny
Zajmijmy sie tym pozniej,neutralny
Zaraz wroce z odpowiedzia,neutralny
Nie potrafie przestac sie bac,przerazony
To najpiekniejszy czas pelen szczescia!,szczesliwy
Nie potrafie poradzic sobie z tym wszystkim.,smutny
To jak najlepszy wybor w moim zyciu!,szczesliwy
To po prostu nieakceptowalne,zdegustowany
Nie mam sily na nic.,smutny
Nie chce juz tego przezywac.,smutny
To uczucie mnie wykancza psychicznie,przerazony
To mnie zupelnie przeroslo,zdegustowany
To mnie przeraza w kazdej postaci. ,zdegustowany
To mnie przerasta!,przerazony
Znowu wszystko poszlo na marne.,smutny
Trzeba to rozwiazac pozniej,neutralny
Nie mam nadziei na przyszlosc.,smutny
To dla mnie bardzo trudne.,smutny
To jest absolutnie zenujace,zdegustowany
Potrzebuje kilku minut na to,neutralny
To jest totalna porazka. ,zdegustowany
Nie bede z tym czekal,neutralny
To uczucie ogarnia mnie calkowicie,przerazony
To jest jak poczucie bezsilnosci,przerazony
Nie mam juz sil na te walke!,zly
To uczucie nie pozwala mi oddychac,przerazony
Relaks staje sie czescia mojego ciala.,kontemplujacy
Nie moge tego ogarnac,zdegustowany
Zgubilam siebie.,smutny
Trzeba to jeszcze dokladnie sprawdzic,neutralny
Znowu zaczynam od zera,zly
Zaraz cos strasznego sie stanie!,przerazony
To zupelnie wykracza poza moje wyobrazenia!,zaskoczony
Cale to podejscie to pomylka,zdegustowany
Po prostu nie moge tego zniesc juz dluzej,zly
Po prostu czuje sie zniechecony,zly
Co za niesamowita chwila!,szczesliwy
To mnie doslownie zamraza,przerazony
Zaraz zgine z przerazenia!,przerazony
To absolutnie wspaniale!,szczesliwy
To cudowna chwila!,szczesliwy
Zaraz sprawdze,neutralny
Cisza tego miejsca jest jak melodia.,kontemplujacy
Jestem pelen szczescia i spelnienia!,szczesliwy
Jestem pelen entuzjazmu!,szczesliwy
Zaraz cos peknie we mnie!,przerazony
Nie moge oddychac z tego strachu!,przerazony
To jest absolutnie nie do zniesienia!,zly
Skontaktuje sie z kims odpowiedzialnym,neutralny
Potrzebuje wiecej czasu na odpowiedz,neutralny
Z kazdym oddechem czuje spokoj w sercu.,kontemplujacy
Nie mam juz nadziei na lepsze jutro.,smutny
Sprawdze to i dam ci znac,neutralny
To jest naprawde nie do przyjecia. ,zdegustowany
Brak slow,zdegustowany
To uczucie mnie doslownie pochlania,przerazony
To uczucie zbliza sie jak burza,przerazony
